classifier_name,dataset_name,accuracy
autogluon,net18v1s1,0.0077
autogluon,net18v1s2,0.0056
autogluon,net18v1s3,0.0037
autogluon,net18v1s4,0.0037
autogluon,net18v1s5,0.0016
autogluon,net18v2s1,0.0094
autogluon,net18v2s2,0.0060
autogluon,net18v2s3,0.0044
autogluon,net18v2s4,0.0036
autogluon,net18v2s5,0.0016
autogluon,net18v3s1,0.0028
autogluon,net18v3s2,0.0053
autogluon,net18v3s3,0.0037
autogluon,net18v3s4,0.0029
autogluon,net18v3s5,0.0024
autogluon,net18v4s1,0.0073
autogluon,net18v4s2,0.0053
autogluon,net18v4s3,0.0038
autogluon,net18v4s4,0.0034
autogluon,net18v4s5,0.0018
mlp,net18v1s1,0.0069
mlp,net18v1s2,0.0074
mlp,net18v1s3,0.0064
mlp,net18v1s4,0.0048
mlp,net18v1s5,0.0048
mlp,net18v2s1,0.0605
mlp,net18v2s2,0.0106
mlp,net18v2s3,0.0085
mlp,net18v2s4,0.0259
mlp,net18v2s5,0.0091
mlp,net18v3s1,0.0166
mlp,net18v3s2,0.0111
mlp,net18v3s3,0.0108
mlp,net18v3s4,0.0034
mlp,net18v3s5,0.0049
mlp,net18v4s1,0.0090
mlp,net18v4s2,0.0050
mlp,net18v4s3,0.0034
mlp,net18v4s4,0.0050
mlp,net18v4s5,0.0061
h2o,net18v1s1,0.0084
h2o,net18v1s2,0.0064
h2o,net18v1s3,0.0045
h2o,net18v1s4,0.0038
h2o,net18v1s5,0.0013
h2o,net18v2s1,0.0114
h2o,net18v2s2,0.0072
h2o,net18v2s3,0.0047
h2o,net18v2s4,0.0039
h2o,net18v2s5,0.0016
h2o,net18v3s1,0.0034
h2o,net18v3s2,0.0066
h2o,net18v3s3,0.0041
h2o,net18v3s4,0.0033
h2o,net18v3s5,0.0027
h2o,net18v4s1,0.0078
h2o,net18v4s2,0.0068
h2o,net18v4s3,0.0048
h2o,net18v4s4,0.0032
h2o,net18v4s5,0.0015
autosklearn,net18v1s1,0.0080
autosklearn,net18v1s2,0.0059
autosklearn,net18v1s3,0.0042
autosklearn,net18v1s4,0.0038
autosklearn,net18v1s5,0.0013
autosklearn,net18v2s1,0.0072
autosklearn,net18v2s2,0.0022
autosklearn,net18v2s3,0.0029
autosklearn,net18v2s4,0.0039
autosklearn,net18v2s5,0.0025
autosklearn,net18v3s1,0.0026
autosklearn,net18v3s2,0.0033
autosklearn,net18v3s3,0.0018
autosklearn,net18v3s4,0.0020
autosklearn,net18v3s5,0.0022
autosklearn,net18v4s1,0.0060
autosklearn,net18v4s2,0.0019
autosklearn,net18v4s3,0.0014
autosklearn,net18v4s4,0.0033
autosklearn,net18v4s5,0.0020

