classifier_name,dataset_name,accuracy
autogluon,net95v1s1,0.0040
autogluon,net95v1s2,0.0075
autogluon,net95v1s3,0.0011
autogluon,net95v1s4,0.0069
autogluon,net95v1s5,0.0076
autogluon,net95v2s1,0.0051
autogluon,net95v2s2,0.0076
autogluon,net95v2s3,0.0092
autogluon,net95v2s4,0.0039
autogluon,net95v2s5,0.0054
autogluon,net95v3s1,0.0016
autogluon,net95v3s2,0.0016
autogluon,net95v3s3,0.0024
autogluon,net95v3s4,0.0008
autogluon,net95v3s5,0.0012
autogluon,net95v4s1,0.0014
autogluon,net95v4s2,0.0015
autogluon,net95v4s3,0.0014
autogluon,net95v4s4,0.0018
autogluon,net95v4s5,0.0016
mlp,net95v1s1,0.0188
mlp,net95v1s2,0.0085
mlp,net95v1s3,0.0098
mlp,net95v1s4,0.0211
mlp,net95v1s5,0.0102
mlp,net95v2s1,0.0199
mlp,net95v2s2,0.0094
mlp,net95v2s3,0.0121
mlp,net95v2s4,0.0222
mlp,net95v2s5,0.0089
mlp,net95v3s1,0.0205
mlp,net95v3s2,0.0091
mlp,net95v3s3,0.0115
mlp,net95v3s4,0.0240
mlp,net95v3s5,0.0098
mlp,net95v4s1,0.0202
mlp,net95v4s2,0.0092
mlp,net95v4s3,0.0208
mlp,net95v4s4,0.0166
mlp,net95v4s5,0.0154
h2o,net95v1s1,0.0012
h2o,net95v1s2,0.0011
h2o,net95v1s3,0.0020
h2o,net95v1s4,0.0032
h2o,net95v1s5,0.0047
h2o,net95v2s1,0.0060
h2o,net95v2s2,0.0057
h2o,net95v2s3,0.0073
h2o,net95v2s4,0.0045
h2o,net95v2s5,0.0039
h2o,net95v3s1,0.0027
h2o,net95v3s2,0.0027
h2o,net95v3s3,0.0028
h2o,net95v3s4,0.0007
h2o,net95v3s5,0.0004
h2o,net95v4s1,0.0007
h2o,net95v4s2,0.0007
h2o,net95v4s3,0.0010
h2o,net95v4s4,0.0013
h2o,net95v4s5,0.0010
autosklearn,net95v1s1,0.0241
autosklearn,net95v1s2,0.0160
autosklearn,net95v1s3,0.0398
autosklearn,net95v1s4,0.0528
autosklearn,net95v1s5,0.0137
autosklearn,net95v2s1,0.0174
autosklearn,net95v2s2,0.0113
autosklearn,net95v2s3,0.0249
autosklearn,net95v2s4,0.0474
autosklearn,net95v2s5,0.0082
autosklearn,net95v3s1,0.0036
autosklearn,net95v3s2,0.0250
autosklearn,net95v3s3,0.0059
autosklearn,net95v3s4,0.0311
autosklearn,net95v3s5,0.0164
autosklearn,net95v4s1,0.0031
autosklearn,net95v4s2,0.0178
autosklearn,net95v4s3,0.0135
autosklearn,net95v4s4,0.0237
autosklearn,net95v4s5,0.0213
