classifier_name,dataset_name,accuracy
autogluon,net18v1s1,0.0067
autogluon,net18v1s2,0.0037
autogluon,net18v1s3,0.0025
autogluon,net18v1s4,0.0034
autogluon,net18v1s5,0.0012
autogluon,net18v2s1,0.0090
autogluon,net18v2s2,0.0052
autogluon,net18v2s3,0.0038
autogluon,net18v2s4,0.0036
autogluon,net18v2s5,0.0016
autogluon,net18v3s1,0.0025
autogluon,net18v3s2,0.0047
autogluon,net18v3s3,0.0032
autogluon,net18v3s4,0.0026
autogluon,net18v3s5,0.0023
autogluon,net18v4s1,0.0065
autogluon,net18v4s2,0.0035
autogluon,net18v4s3,0.0026
autogluon,net18v4s4,0.0033
autogluon,net18v4s5,0.0015
mlp,net18v1s1,0.0130
mlp,net18v1s2,0.0070
mlp,net18v1s3,0.0097
mlp,net18v1s4,0.0032
mlp,net18v1s5,0.0020
mlp,net18v2s1,0.0138
mlp,net18v2s2,0.0086
mlp,net18v2s3,0.0070
mlp,net18v2s4,0.0043
mlp,net18v2s5,0.0107
mlp,net18v3s1,0.0055
mlp,net18v3s2,0.0062
mlp,net18v3s3,0.0046
mlp,net18v3s4,0.0036
mlp,net18v3s5,0.0059
mlp,net18v4s1,0.0402
mlp,net18v4s2,0.0052
mlp,net18v4s3,0.0086
mlp,net18v4s4,0.0182
mlp,net18v4s5,0.0119
h2o,net18v1s1,0.0082
h2o,net18v1s2,0.0063
h2o,net18v1s3,0.0046
h2o,net18v1s4,0.0039
h2o,net18v1s5,0.0013
h2o,net18v2s1,0.0109
h2o,net18v2s2,0.0069
h2o,net18v2s3,0.0047
h2o,net18v2s4,0.0038
h2o,net18v2s5,0.0017
h2o,net18v3s1,0.0036
h2o,net18v3s2,0.0066
h2o,net18v3s3,0.0043
h2o,net18v3s4,0.0034
h2o,net18v3s5,0.0029
h2o,net18v4s1,0.0078
h2o,net18v4s2,0.0067
h2o,net18v4s3,0.0048
h2o,net18v4s4,0.0032
h2o,net18v4s5,0.0015

autogluon,net95v1s1,0.0040
autogluon,net95v1s2,0.0075
autogluon,net95v1s3,0.0011
autogluon,net95v1s4,0.0069
autogluon,net95v1s5,0.0076
autogluon,net95v2s1,0.0051
autogluon,net95v2s2,0.0076
autogluon,net95v2s3,0.0092
autogluon,net95v2s4,0.0039
autogluon,net95v2s5,0.0054
autogluon,net95v3s1,0.0016
autogluon,net95v3s2,0.0016
autogluon,net95v3s3,0.0024
autogluon,net95v3s4,0.0008
autogluon,net95v3s5,0.0012
autogluon,net95v4s1,0.0014
autogluon,net95v4s2,0.0015
autogluon,net95v4s3,0.0014
autogluon,net95v4s4,0.0018
autogluon,net95v4s5,0.0016
mlp,net95v1s1,0.0188
mlp,net95v1s2,0.0085
mlp,net95v1s3,0.0098
mlp,net95v1s4,0.0211
mlp,net95v1s5,0.0102
mlp,net95v2s1,0.0199
mlp,net95v2s2,0.0094
mlp,net95v2s3,0.0121
mlp,net95v2s4,0.0222
mlp,net95v2s5,0.0089
mlp,net95v3s1,0.0205
mlp,net95v3s2,0.0091
mlp,net95v3s3,0.0115
mlp,net95v3s4,0.0240
mlp,net95v3s5,0.0098
mlp,net95v4s1,0.0202
mlp,net95v4s2,0.0092
mlp,net95v4s3,0.0208
mlp,net95v4s4,0.0166
mlp,net95v4s5,0.0154
h2o,net95v1s1,0.0012
h2o,net95v1s2,0.0011
h2o,net95v1s3,0.0020
h2o,net95v1s4,0.0032
h2o,net95v1s5,0.0047
h2o,net95v2s1,0.0060
h2o,net95v2s2,0.0057
h2o,net95v2s3,0.0073
h2o,net95v2s4,0.0045
h2o,net95v2s5,0.0039
h2o,net95v3s1,0.0027
h2o,net95v3s2,0.0027
h2o,net95v3s3,0.0028
h2o,net95v3s4,0.0007
h2o,net95v3s5,0.0004
h2o,net95v4s1,0.0007
h2o,net95v4s2,0.0007
h2o,net95v4s3,0.0010
h2o,net95v4s4,0.0013
h2o,net95v4s5,0.0010
autosklearn,net95v1s1,0.0241
autosklearn,net95v1s2,0.0160
autosklearn,net95v1s3,0.0398
autosklearn,net95v1s4,0.0528
autosklearn,net95v1s5,0.0137
autosklearn,net95v2s1,0.0174
autosklearn,net95v2s2,0.0113
autosklearn,net95v2s3,0.0249
autosklearn,net95v2s4,0.0474
autosklearn,net95v2s5,0.0082
autosklearn,net95v3s1,0.0036
autosklearn,net95v3s2,0.0250
autosklearn,net95v3s3,0.0059
autosklearn,net95v3s4,0.0311
autosklearn,net95v3s5,0.0164
autosklearn,net95v4s1,0.0031
autosklearn,net95v4s2,0.0178
autosklearn,net95v4s3,0.0135
autosklearn,net95v4s4,0.0237
autosklearn,net95v4s5,0.0213
